
251-300,Umeå UniversitySweden,-,20.8,25,74.5,31.1,56.1
251-300,Vienna University of TechnologyAustria,-,34.1,32,54.6,86.5,77.3
251-300,Virginia Polytechnic Institute and State UniversityUnited States,-,34.9,38.2,54.2,43.3,29.5
251-300,University of WollongongAustralia,-,25.8,28.4,59.3,57.9,86.8
251-300,Zhejiang UniversityChina,-,44.3,46,36.1,96.2,19.6
301-350,Aberystwyth UniversityUnited Kingdom,-,21.6,18.9,67.2,31.3,72.2
301-350,University of Alaska FairbanksUnited States,-,25.1,23.1,63,51.2,53.5
301-350,Autonomous University of MadridSpain,-,35.6,30.9,46.9,33,48.6
301-350,Bangor UniversityUnited Kingdom,-,22.6,22.1,65.4,31,81.3
301-350,University of BremenGermany,-,30.9,32.7,50,46,50
301-350,University of CincinnatiUnited States,-,31.3,20.4,72.1,35.3,28.3
301-350,University of ConnecticutUnited States,-,35.9,25.6,57,30.9,43.1
301-350,Deakin UniversityAustralia,-,22.4,21.9,66.8,30,76.9
301-350,University of EssexUnited Kingdom,-,33.9,33.3,38.6,28.9,93.7
301-350,George Mason UniversityUnited States,-,29.6,21.2,64.9,29.1,36.9
301-350,University of GreifswaldGermany,-,30.1,23.5,61.3,32.6,41.7
301-350,Gwangju Institute of Science and TechnologySouth Korea,-,35.2,42,43.7,45.2,36.2
301-350,University of HohenheimGermany,-,30.9,33.8,51.5,52.8,50.3
301-350,University of InnsbruckAustria,-,23.6,16.9,67.3,39.9,95.7
301-350,Kazan Federal UniversityRussian Federation,-,21.9,12.3,87.5,42.4,25.5
301-350,University of KentUnited Kingdom,-,24.6,19.1,60.9,28.8,87.2
301-350,Leibniz University of HanoverGermany,-,36.5,36.9,39,69.6,43.2
301-350,Macquarie UniversityAustralia,-,28.5,27.2,52.3,33.1,90
301-350,Medical College of WisconsinUnited States,-,25.4,12.1,85.2,31.8,30.4
301-350,University of MilanItaly,-,30.5,24.2,64.8,40.9,37.7
301-350,University of Milan-BicoccaItaly,-,24.3,25.5,65.8,46.6,34.3
301-350,Montpellier UniversityFrance,-,38.7,16.7,59.5,31.9,54.4
301-350,Nagoya UniversityJapan,-,40.8,38.9,40.1,91.4,27.4
301-350,University of Naples Federico IIItaly,-,24.7,14.8,81.3,47.4,21.1
301-350,National Chiao Tung UniversityTaiwan,-,32.9,45.4,34.2,96.9,32
301-350,National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,-,31.7,43.1,39.1,92.2,30.5
301-350,University of NavarraSpain,-,31.9,20.8,57.5,63.5,52.6
301-350,University of Nebraska-LincolnUnited States,-,30.1,30.2,53.5,35.6,45.8
301-350,Örebro UniversitySweden,-,18.3,10.4,87.8,29.8,39.4
301-350,University of OregonUnited States,-,21.2,22.7,72.6,30.8,33.5
301-350,University of PaduaItaly,-,25.7,22.6,74.6,32.6,37.9
301-350,University of PaviaItaly,-,25,22.5,65.1,69.4,40.5
301-350,Plymouth UniversityUnited Kingdom,-,19.3,18,75.2,28.5,64
301-350,Shanghai Jiao Tong UniversityChina,-,37.8,45.2,34,92.9,27.5
301-350,University of Southern DenmarkDenmark,-,19.2,14.7,79.7,28,71.8
301-350,Stellenbosch UniversitySouth Africa,-,28.2,35,46.9,100,49.8
301-350,University of StrasbourgFrance,-,25.5,23.4,64.4,32.8,71.6
301-350,TU Dortmund UniversityGermany,-,34.2,29.8,55.3,48.6,40.8
301-350,Toulouse 1 Capitole UniversityFrance,-,18.6,35.7,56.3,32.5,66.7
301-350,University of TriesteItaly,-,26.5,18.5,74.1,32.3,47.3
301-350,University of TurinItaly,-,27.4,22.3,67.5,54.2,38.8
301-350,University of TurkuFinland,-,27.1,21.2,65.8,31.2,66.2
301-350,Vrije Universiteit BrusselBelgium,-,28.7,24.5,56.8,77.1,64.5
301-350,VŠB - Technical University of OstravaCzech Republic,-,18.8,15.7,85.5,32.1,22.3
